time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
7936966,0.000008,0.002644,0.000597,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7946967,0.000009,0.002780,0.000579,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7956966,0.000009,0.002964,0.000555,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7966967,0.000010,0.003173,0.000527,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7976967,0.000010,0.003096,0.000537,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
7986966,0.000010,0.003266,0.000515,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7996967,0.000010,0.003282,0.000513,0,0,0,0,0.000000,0.000000,4.000000,0.000000,0,-0.000000,0.000000
8006967,0.000010,0.003258,0.000516,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
8016967,0.000010,0.003260,0.000516,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8026967,0.000010,0.003241,0.000518,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8036967,0.000009,0.002924,0.000560,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
8046967,0.000009,0.002903,0.000563,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8056967,0.000008,0.002577,0.000606,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8066966,0.000008,0.002688,0.000591,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8076967,0.000008,0.002581,0.000605,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
8086967,0.000008,0.002698,0.000590,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
8096967,0.000009,0.002893,0.000564,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8106966,0.000010,0.003166,0.000528,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8116967,0.000011,0.003421,0.000495,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
8126967,0.000011,0.003651,0.000464,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8136967,0.000012,0.003884,0.000434,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8146967,0.000012,0.004047,0.000412,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8156967,0.000012,0.003960,0.000424,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8166966,0.000012,0.003846,0.000439,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8190967,0.000011,0.003753,0.000451,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
8200968,0.000011,0.003558,0.000477,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8210968,0.000011,0.003419,0.000495,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8220968,0.000010,0.003270,0.000515,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8230968,0.000010,0.003075,0.000540,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8240968,0.000009,0.002874,0.000567,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
8250968,0.000008,0.002649,0.000596,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8260969,0.000008,0.002446,0.000623,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8270968,0.000007,0.002285,0.000644,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
8280968,0.000007,0.002245,0.000649,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8290969,0.000008,0.002480,0.000618,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
8300968,0.000009,0.002896,0.000564,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8310969,0.000010,0.003288,0.000512,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8320968,0.000011,0.003707,0.000457,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8330968,0.000012,0.003931,0.000427,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8340968,0.000012,0.004091,0.000406,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8350968,0.000013,0.004221,0.000389,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8360968,0.000013,0.004318,0.000377,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8370969,0.000013,0.004419,0.000363,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8380969,0.000013,0.004466,0.000357,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8390969,0.000013,0.004448,0.000359,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8400968,0.000013,0.004328,0.000375,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
8410969,0.000013,0.004164,0.000397,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
8420969,0.000012,0.004007,0.000417,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
8448996,0.000011,0.003543,0.000479,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
8458998,0.000011,0.003626,0.000468,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8468999,0.000011,0.003727,0.000454,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8478998,0.000012,0.003855,0.000437,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
8489000,0.000013,0.004134,0.000401,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8499000,0.000013,0.004398,0.000366,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
8508997,0.000014,0.004621,0.000337,0,0,0,0,0.000000,0.000000,-2.000000,4.000000,0,-0.000000,0.000000
8519000,0.000015,0.004974,0.000290,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
8528998,0.000014,0.004694,0.000327,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
8539000,0.000013,0.004377,0.000369,0,0,0,0,0.000000,0.000000,2.000000,-4.000000,0,-0.000000,0.000000
8548998,0.000014,0.004551,0.000346,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8558998,0.000013,0.004333,0.000375,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
8568999,0.000013,0.004355,0.000372,0,0,0,0,0.000000,0.000000,-2.000000,-4.000000,0,-0.000000,0.000000
8578998,0.000012,0.004100,0.000405,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
8589001,0.000012,0.003893,0.000433,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
