volt,velo,accel,dt
-5796.0,-61.2,-3080.3303,19868.0
-5821.0,-51.8,-2590.1294,19999.0
-6061.0,-12.6,-630.0315,19999.0
-7152.0,-112.6,-5630.2812,19999.0
-7798.0,-140.6,-6683.145,21038.0
-7915.0,-141.2,-7061.059,19997.0
-7903.0,-167.0,-8350.418,19999.0
-8334.0,-205.0,-10250.0,20000.0
-8778.0,-236.8,-11840.0,20000.0
-9123.0,-246.2,-12311.231,19998.0
-9141.0,-269.8,-13489.325,20001.0
-9394.0,-280.8,-14040.701,19999.0
-9523.0,-306.8,-15342.301,19997.0
-9646.0,-315.0,-15750.0,20000.0
-9757.0,-331.2,-16561.656,19998.0
-9813.0,-339.6,-16980.85,19999.0
-9917.0,-362.8,-18139.092,20001.0
-10016.0,-374.6,-18732.81,19997.0
-9979.0,-353.2,-17659.117,20001.0
-10004.0,-355.8,-17792.668,19997.0
-10053.0,-362.4,-18120.0,20000.0
-10071.0,-356.0,-17800.89,19999.0
-10207.0,-405.4,-20271.014,19999.0
-10299.0,-411.4,-20572.057,19998.0
-10312.0,-410.2,-20511.025,19999.0
-10355.0,-438.4,-21921.096,19999.0
-10423.0,-429.6,-21482.148,19998.0
-10460.0,-438.4,-21918.904,20001.0
-10564.0,-459.6,-22982.299,19998.0
-10570.0,-450.2,-22511.127,19999.0
-10595.0,-439.8,-21988.9,20001.0
-10503.0,-430.0,-21503.225,19997.0
-10638.0,-477.4,-23872.387,19998.0
-10749.0,-497.0,-24850.0,20000.0
-10669.0,-441.8,-22091.104,19999.0
-10503.0,-427.2,-21361.068,19999.0
-10564.0,-457.4,-22871.143,19999.0
-10644.0,-470.2,-23511.176,19999.0
-10644.0,-455.8,-22791.139,19999.0
-10607.0,-453.2,-22662.268,19998.0
-10650.0,-460.2,-23007.7,20002.0
-10724.0,-463.8,-23193.479,19997.0
-10706.0,-457.4,-22872.287,19998.0
-10712.0,-484.6,-24230.0,20000.0
-10712.0,-471.6,-23574.107,20005.0
-7792.0,-418.8,-20947.33,19993.0
-5334.0,-348.0,-17391.305,20010.0
-253.0,-189.0,-9455.674,19988.0
4441.0,-79.2,-3958.2188,20009.0
2181.0,-11.4,-570.057,19998.0
5556.0,-0.0,0.0,19991.0
5439.0,32.6,1630.0814,19999.0
5870.0,32.6,1630.0814,19999.0
5895.0,44.4,2220.111,19999.0
5889.0,36.6,1829.7255,20003.0
6363.0,18.8,940.04694,19999.0
6838.0,78.0,3900.9753,19995.0
7509.0,103.2,5160.258,19999.0
7238.0,67.0,3350.0,20000.0
7127.0,82.6,4130.413,19998.0
7244.0,98.2,4910.245,19999.0
7410.0,110.0,5498.9004,20004.0
8106.0,145.2,7262.1787,19994.0
8057.0,153.0,7650.0,20000.0
8649.0,238.6,11931.193,19998.0
9449.0,368.4,18420.92,19999.0
9702.0,345.2,17260.0,20000.0
9154.0,163.8,8190.8193,19998.0
7903.0,193.4,9604.211,20137.0
9246.0,283.0,14249.031,19861.0
9252.0,237.8,11890.595,19999.0
8907.0,239.6,11980.6,19999.0
9345.0,278.8,13941.394,19998.0
9486.0,277.4,13870.693,19999.0
9443.0,292.0,14600.0,20000.0
9449.0,297.4,14871.487,19998.0
9517.0,283.6,14179.291,20001.0
9566.0,294.4,14721.472,19998.0
9616.0,303.8,15191.519,19998.0
9634.0,306.6,15330.0,20000.0
9677.0,319.2,15960.799,19999.0
9751.0,309.6,15479.227,20001.0
9794.0,344.8,17242.586,19997.0
9788.0,311.8,15590.779,19999.0
9887.0,342.4,17120.0,20000.0
9874.0,341.6,17081.709,19998.0
9973.0,361.2,18060.0,20000.0
9973.0,340.2,17011.701,19998.0
10022.0,358.2,17910.896,19999.0
