,left_voltage,right_voltage,left_velo,right_velo,dt
916,-10275,-10262,-396.0,-411.600006,20005
917,-8260,-10484,-394.0,-413.200012,19999
918,-6603,-10768,-359.200012,-438.799988,19995
919,-4478,-11032,-289.200012,-480.200012,19999
920,-3868,-11039,-270.399994,-456.799988,20000
921,-3585,-11119,-247.800003,-473.0,19999
922,-3659,-11131,-282.600006,-488.799988,20000
923,-4275,-11156,-313.600006,-472.0,19998
924,-4386,-11162,-313.200012,-480.799988,19999
925,-4072,-11199,-291.799988,-503.200012,20003
926,-3474,-11217,-245.600006,-497.200012,19999
927,-7848,-11057,-383.600006,-489.799988,19994
928,-10398,-10694,-521.0,-462.399994,20000
929,-10386,-10706,-338.799988,-487.200012,19998
930,-10022,-10373,-293.200012,-488.600006,19999
931,-10164,-10404,-336.600006,-480.799988,20000
932,-10269,-10490,-356.0,-505.200012,20000
933,-10262,-10478,-364.799988,-488.200012,19998
934,-10293,-10460,-354.200012,-450.600006,19999
935,-10355,-10496,-400.799988,-469.600006,20000
936,-10386,-10496,-387.600006,-472.200012,19999
937,-10386,-10533,-400.399994,-481.399994,19999
938,-10453,-10620,-390.399994,-468.399994,19999
939,-10478,-10607,-438.200012,-477.600006,19998
940,-10429,-10583,-397.600006,-478.399994,19999
941,-10496,-10638,-428.200012,-481.600006,20001
942,-10564,-10657,-436.600006,-479.399994,19998
943,-10601,-10706,-416.399994,-498.200012,20000
944,-10620,-10737,-442.200012,-497.0,19998
945,-10700,-10731,-459.799988,-486.600006,19998
946,-10675,-10731,-453.399994,-477.0,20000
947,-10681,-10749,-455.399994,-499.0,19999
948,-10718,-10731,-475.600006,-489.600006,20000
949,-10700,-10768,-467.399994,-486.600006,20002
950,-11014,-8205,-478.799988,-443.799988,19994
951,-11137,-5858,-501.0,-379.799988,20000
952,-11131,-5224,-481.200012,-356.0,19999
953,-11186,-4866,-495.600006,-334.399994,19999
954,-11143,-4577,-472.0,-311.399994,19999
955,-11223,-4762,-528.400024,-355.600006,19999
956,-11199,-6129,-489.799988,-448.399994,19999
957,-11217,-6369,-495.0,-420.799988,19999
958,-11236,-6074,-512.599976,-417.200012,19999
959,-11193,-5679,-484.600006,-382.0,19999
960,-11217,-4860,-512.400024,-329.799988,20000
961,-11143,-4337,-473.0,-295.0,19999
962,-11131,-4010,-467.399994,-282.799988,19999
963,-11186,-3721,-508.799988,-260.799988,19998
964,-11131,-3474,-473.799988,-246.199997,20000
965,-11199,-3450,-503.600006,-258.399994,19998
966,-11137,-4059,-485.0,-299.200012,20000
967,-11106,-4170,-459.200012,-295.799988,19999
968,-11125,-3979,-474.399994,-281.200012,19998
969,-11100,-3745,-477.799988,-260.600006,20000
970,-11119,-3443,-463.200012,-247.0,19999
971,-11137,-3055,-465.200012,-220.399994,19999
972,-11045,-2686,-441.399994,-191.600006,19999
973,-11094,-2421,-459.399994,-182.0,19998
974,-11076,-2162,-459.200012,-169.399994,19999
975,-11039,-1971,-437.799988,-149.0,19999
976,-11088,-1725,-485.200012,-144.600006,19999
977,-11045,-1639,-454.600006,-131.800003,20000
978,-11045,-1583,-440.200012,-132.399994,19998
979,-11020,-1583,-465.600006,-130.600006,20000
980,-10958,-1454,-418.399994,-121.0,19999
981,-10946,-1257,-419.799988,-108.800003,19999
982,-10835,-1078,-415.399994,-98.0,20000
983,-10804,-924,-380.399994,-90.800003,19999
984,-10848,-807,-432.600006,-77.199997,19998
985,-10804,-733,-396.799988,-66.199997,20004
986,-10749,1084,-391.799988,-57.599998,19999
987,-10429,4528,-411.399994,27.6,19999
988,-10484,4762,-413.799988,78.800003,19994
989,-10102,6265,-384.399994,27.6,20001
990,-10028,6813,-412.0,105.800003,19997
991,-9991,7694,-405.799988,132.800003,19999
992,-10053,7694,-413.399994,120.599998,20000
993,-9930,8562,-391.799988,193.800003,19998
994,-9936,8963,-394.399994,246.199997,20001
995,-9893,9080,-387.600006,223.800003,20004
996,-6369,4854,-275.399994,179.199997,19990
997,-3302,1250,-209.0,61.200001,20000
998,-2673,678,-197.199997,42.799999,19998
999,-2563,468,-202.800003,34.799999,19999
1000,-2969,832,-230.0,70.800003,20000
1001,-2994,2211,-227.600006,192.399994,19998
1002,-2797,2550,-202.800003,192.0,19999
1003,-2556,2372,-189.0,177.800003,19999
1004,-2255,1768,-170.0,133.0,19999
1005,-2014,1183,-157.0,99.199997,20000
1006,-1706,813,-134.600006,69.599998,19998
1007,-942,493,-78.800003,43.0,20012
1008,1669,-1829,-56.0,11.4,19989
1009,6111,-6357,274.200012,-274.0,20009
1010,8069,-8568,161.399994,-248.399994,19990
1011,6850,-8673,94.599998,-115.0,19999
1012,6505,-6985,99.199997,-51.599998,19999
1013,7263,-7860,121.0,-132.0,19999
1014,7940,-8612,164.800003,-205.199997,20000
1015,7996,-8556,175.399994,-193.199997,20001
1016,8341,-8667,210.199997,-224.800003,19998
1017,8402,-9018,195.600006,-232.0,19999
1018,8790,-9166,254.800003,-263.399994,20000
1019,9363,-9468,266.799988,-297.799988,19999
1020,9166,-9529,267.0,-288.799988,19997
1021,9505,-9634,303.0,-315.399994,20008
1022,5359,-7059,165.199997,-271.0,19996
1023,2889,-4564,168.0,-213.199997,19990
1024,1860,-2636,137.800003,-180.800003,19999
1025,1497,-2156,129.800003,-160.800003,20016
1026,-2735,-2661,91.400002,-153.199997,19994
1027,-5402,-8199,12.4,-382.200012,20000
1028,-3616,-7996,-23.6,-464.200012,19991
1029,-7004,-9757,-23.799999,-489.600006,19997
1030,-5870,-10078,-59.0,-403.600006,20001
1031,-6991,-9400,-65.800003,-209.800003,20002
1032,-7367,-4977,-109.400002,-199.800003,19999
1033,-8076,-2452,-151.399994,-129.199997,19995
1034,-8341,-1460,-179.399994,-113.599998,20000
1035,-8291,-1195,-143.800003,-99.199997,20000
1036,-8458,-955,-198.399994,-100.400002,19996
1037,-9443,-1374,-264.0,-124.800003,19999
1038,-9585,-1977,-256.399994,-162.0,20000
1039,-9609,-2612,-255.600006,-209.600006,19998
1040,-9659,-2556,-281.200012,-198.600006,20003
1041,-10047,-2119,-289.799988,-153.399994,19996
1042,-10158,-1053,-319.0,-85.199997,19998
1043,-10182,-450,-308.799988,-40.599998,19999
1044,-10416,-222,-349.0,-31.0,19999
1045,-10527,-37,-317.399994,-18.200001,20004
1046,-10460,1860,-363.0,-12.8,19999
1047,-10041,4521,-334.600006,25.799999,19993
1048,-9763,7429,-348.200012,97.599998,20000
1049,-9868,6776,-354.799988,53.400002,19998
1050,-9825,7515,-352.0,94.599998,19999
1051,-9825,7478,-355.0,122.199997,20009
1052,-6874,4718,-266.799988,80.800003,19997
1053,-4540,1066,-260.799988,22.4,19990
1054,-3296,43,-218.399994,-0.0,19998
1055,-2599,25,-188.800003,-0.0,19999
1056,-2168,18,-161.399994,-0.0,20000
1057,-1891,99,-147.800003,-0.0,19999
1058,-1897,450,-154.399994,15.8,20000
1059,-2137,554,-176.399994,39.799999,19999
1060,-2168,450,-168.199997,37.400002,19998
1061,-2002,197,-156.600006,26.4,20000
1062,-1786,105,-146.600006,18.200001,20012
1063,-2556,-1934,-146.0,5.8,19988
1064,-6351,-6258,-234.399994,-249.199997,20009
1065,-6610,-8082,-124.0,-223.0,19990
1066,-7644,-8649,-105.800003,-124.0,19999
1067,-7299,-7688,-136.0,-141.0,19999
1068,-7133,-8377,-165.800003,-196.199997,19998
1069,-8710,-8876,-212.600006,-209.800003,20001
1070,-8119,-9117,-200.600006,-228.800003,19998
1071,-8667,-9178,-223.399994,-264.0,19998
1072,-9086,-9474,-275.0,-282.799988,20001
1073,-9523,-9597,-285.399994,-320.799988,19998
1074,-9609,-9659,-290.399994,-311.799988,19999
1075,-9690,-9763,-312.0,-343.200012,19999
1076,-9837,-9887,-334.600006,-362.600006,20001
1077,-9911,-9973,-330.200012,-362.0,19998
1078,-10022,-10034,-379.399994,-380.0,19998
1079,-10059,-10102,-356.200012,-401.600006,20000
1080,-10152,-10195,-381.600006,-405.399994,19999
1081,-10207,-10262,-384.200012,-411.799988,20000
1082,-10275,-10275,-406.399994,-425.600006,19999
1083,-10281,-10312,-390.799988,-406.200012,19999
1084,-10373,-10386,-425.0,-448.200012,20000
1085,-10404,-10441,-420.399994,-448.200012,19999
1086,-10453,-10460,-416.200012,-441.200012,19998
1087,-10503,-10521,-447.399994,-468.200012,19999
1088,-10484,-10540,-416.399994,-474.399994,19999
1089,-10509,-10595,-433.799988,-470.399994,19999
1090,-10515,-10595,-450.200012,-469.200012,19998
