x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
289.763794,125.068504,10.299420,12,6092,66.800003,71.000000,3340.334229,3550.354980,0.000000,17.364460,19998
289.767975,125.063545,10.296817,12,7527,86.800003,135.399994,4340.000000,6769.999512,0.000000,26.541672,20000
289.762970,125.059326,10.295590,12,7688,86.800003,69.400002,4340.217285,3470.173584,0.000000,13.306663,19999
289.760101,125.085686,10.292354,12,5840,-0.000000,17.000000,0.000000,850.042480,0.000000,4.336896,19999
289.788330,124.801575,10.314904,6,6382,-0.000000,17.000000,0.000000,850.042480,0.000000,3.960769,19999
289.788330,124.801575,10.317218,12,6234,-0.000000,17.000000,0.000000,850.042480,0.000000,4.047913,19999
289.788330,124.801575,10.317395,6,6382,-0.000000,9.600000,0.000000,480.024017,0.000000,2.235709,19999
289.788330,124.801575,10.316286,6,6406,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20003
289.788330,124.801575,10.315094,561,6295,61.000000,0.000000,3050.457520,0.000000,100.000000,0.000000,19997
289.788330,124.801575,10.313660,795,6326,34.000000,-15.200000,1699.829956,-759.924011,63.090134,3.571545,20002
289.788330,124.801575,10.315370,1669,6203,41.200001,0.000000,2060.206055,0.000000,36.064713,0.000000,19998
289.788330,124.801575,10.315348,2076,6215,68.800003,0.000000,3440.860352,0.000000,48.097004,0.000000,19995
289.788330,124.801575,10.315548,2150,6123,42.799999,0.000000,2139.572021,0.000000,29.305876,0.000000,20004
289.788330,124.801575,10.315408,1965,6203,42.799999,0.000000,2140.535156,0.000000,32.382587,0.000000,19995
289.788330,124.801575,10.316567,1873,6228,40.799999,0.000000,2040.203979,0.000000,32.518883,0.000000,19998
289.778900,124.793991,10.317640,1879,6295,40.799999,0.000000,2039.693970,0.000000,32.397636,0.000000,20003
289.778900,124.793991,10.317310,407,6326,31.799999,0.000000,1590.397583,0.000000,100.000000,0.000000,19995
289.778900,124.793991,10.316340,-3148,6320,-143.800003,0.000000,-7187.125488,0.000000,66.527466,0.000000,20008
289.778900,124.793991,10.314097,-4854,4749,-189.000000,0.000000,-9449.527344,0.000000,54.440464,0.000000,20001
289.778900,124.793991,10.314191,-6388,678,-142.600006,-77.400002,-7130.713379,-3870.387207,31.190605,100.000000,19998
289.812958,124.821609,10.313955,-3474,-2778,-93.400002,-171.800003,-4672.569824,-8594.727539,39.851402,92.290718,19989
289.915955,124.986847,10.308598,-5513,-6739,-26.000000,-309.000000,-1300.065063,-15450.772461,6.908711,63.885216,19999
290.002167,125.140938,10.303139,-7909,-9030,-116.199997,-387.200012,-5810.290527,-19360.968750,21.460299,56.694283,19999
290.245392,125.410271,10.299297,-7287,-8470,-85.400002,-124.400002,-4270.213379,-6220.311035,17.351875,21.206289,19999
290.645813,125.760490,10.299966,-7620,-5883,-139.199997,-32.400002,-6960.347656,-1620.081055,27.032104,8.189776,19999
291.107758,126.145477,10.300787,-8173,-7207,-159.399994,-120.599998,-7970.398438,-6030.301270,28.714678,24.813448,19999
291.584106,126.543854,10.299103,-7885,-8667,-157.800003,-208.399994,-7890.000000,-10420.000000,29.477140,35.137352,20000
292.209320,127.068581,10.297331,-8439,-8273,-198.199997,-177.399994,-9910.991211,-8870.886719,34.558884,31.524431,19998
292.922485,127.666824,10.297583,-8519,-8297,-217.199997,-183.399994,-10861.085938,-9170.916992,37.454216,32.535149,19998
293.713104,128.330276,10.297417,-8901,-8655,-248.600006,-237.800003,-12422.546875,-11882.870117,40.939445,40.242928,20012
294.526581,129.015121,10.295818,-6332,-6930,-233.000000,-249.000000,-11652.330078,-12452.490234,54.649166,53.037868,19996
295.479370,129.820816,10.293629,-2187,-4090,-78.400002,-176.000000,-3922.157227,-8804.842773,54.167011,63.827396,19989
296.338684,130.549393,10.292317,-961,-1749,-73.400002,-111.199997,-3670.183594,-5560.277832,100.000000,95.480019,19999
297.165802,131.307449,10.293529,-942,-942,-88.000000,-77.000000,-4400.439941,-3850.385010,100.000000,100.000000,19998
297.913513,131.854050,10.295844,-1774,-788,-144.199997,-54.599998,-7210.360352,-2730.136475,86.918564,100.000000,19999
298.515076,132.235458,10.301647,-1663,-801,-137.600006,-66.400002,-6880.688477,-3320.332031,0.000000,0.000000,19998
299.085205,132.618591,10.305739,-1466,-1368,-125.800003,-124.000000,-6250.931641,-6161.490723,0.000000,0.000000,20125
299.493927,132.939041,10.307032,-1435,-2470,-124.000000,-204.199997,-6235.542480,-10268.530273,0.000000,0.000000,19886
299.858887,133.222244,10.307588,-1774,-936,-109.800003,-177.000000,-5490.274902,-8850.442383,0.000000,100.000000,19999
300.197296,133.458130,10.310479,-5408,4016,-225.600006,24.600000,-11280.000000,1230.000000,50.128479,8.589774,20000
300.447357,133.662125,10.311239,-8852,5341,-412.200012,178.000000,-20621.341797,8904.897461,62.280041,49.416908,19989
300.668762,133.959473,10.303353,-9560,3918,-214.600006,-71.400002,-10660.706055,-3546.944824,31.863459,27.356289,20130
300.923706,134.425186,10.285268,-8661,7361,-182.600006,32.200001,-9190.658203,1620.696655,30.788063,6.486308,19868
301.154022,135.070328,10.260570,-7835,6024,-151.000000,63.599998,-7550.377441,3180.158936,28.477654,15.676745,19999
301.227203,136.008850,10.228069,-7577,7373,-164.800003,115.400002,-8240.000000,5770.000000,32.142288,23.209824,20000
301.153198,137.117584,10.190520,-8045,8236,-205.000000,199.000000,-10251.025391,9950.995117,37.496788,35.437229,19998
300.951355,138.375839,10.146933,-8963,8421,-239.600006,190.600006,-11980.599609,9530.476562,39.159199,33.321316,19999
300.716400,139.716003,10.098379,-8864,8396,-225.199997,180.800003,-11260.000000,9040.000000,37.268505,31.672182,20000
300.392944,141.109222,10.049768,-8901,8636,-237.600006,221.000000,-11881.188477,11051.105469,39.156792,37.555092,19998
299.906830,142.581619,9.996508,-9191,9006,-269.000000,250.399994,-13450.000000,12520.000000,42.826950,40.719475,20000
299.283234,144.127197,9.936828,-9265,9265,-275.600006,279.000000,-13776.556641,13946.513672,43.493149,43.938629,20005
298.503052,145.690735,9.874059,-7343,6751,-248.199997,225.399994,-12416.829102,11276.201172,49.802910,49.269047,19989
297.634979,147.182419,9.808673,-1682,1626,-67.000000,69.800003,-3350.000000,3490.000244,60.395866,65.058983,20000
296.739441,148.563644,9.746674,-647,653,-39.400002,36.200001,-1970.098633,1810.090576,92.798355,84.442596,19999
295.760895,149.772171,9.688779,-721,684,-36.799999,34.400002,-1840.000000,1720.000122,76.864059,75.758430,20000
294.949371,150.790161,9.637766,-961,1294,-90.599998,124.199997,-4530.453125,6210.621094,0.000000,0.000000,19998
294.403076,151.445648,9.604326,-949,2766,-91.000000,230.199997,-4550.227539,11510.575195,0.000000,0.000000,19999
294.061066,151.830704,9.581266,-1053,2951,-102.400002,220.399994,-5120.000000,11020.000000,0.000000,0.000000,20000
293.820496,152.068787,9.565576,-936,2273,-90.000000,158.800003,-4500.450195,7940.794434,0.000000,0.000000,19998
293.666290,152.252563,9.553500,-801,1214,-77.599998,94.599998,-3877.673340,4727.163574,0.000000,0.000000,20012
293.550842,152.353577,9.545037,400,-333,-69.000000,73.400002,-3450.517578,3670.550537,100.000000,100.000000,19997
293.469940,152.417816,9.539071,5408,-6844,191.000000,-283.200012,9554.777344,-14167.083984,48.153988,55.684002,19990
293.440918,152.433594,9.536812,8673,-8895,174.399994,-247.800003,8720.000000,-12390.000000,28.694117,39.509304,20000
293.497498,152.384995,9.544436,7817,-7429,104.800003,-123.000000,5240.524414,-6150.615234,19.725367,24.413767,19998
293.687683,152.161285,9.565182,6523,-5858,62.599998,-123.000000,3130.156494,-6150.307617,14.281845,31.342443,19999
294.015778,151.843109,9.589269,7540,-7768,127.000000,-171.800003,6350.000000,-8590.000000,24.856607,32.697079,20000
294.535339,151.297852,9.616586,7552,-8538,131.399994,-166.800003,6570.328125,-8340.416992,25.656622,28.656332,19999
295.192230,150.643707,9.649868,7595,-8045,152.199997,-158.199997,7610.000000,-7910.000000,29.586109,28.956352,20000
295.871826,149.847702,9.687311,8427,-8051,188.000000,-188.600006,9397.180664,-9427.171875,32.800030,34.496208,20006
296.599213,148.933533,9.729718,3758,-4133,126.400002,-135.399994,6323.161621,-6773.386230,50.545776,49.053814,19990
297.372711,147.936523,9.774364,548,-370,79.599998,-20.799999,3980.397949,-1040.104004,100.000000,86.065277,19998
298.065887,146.953445,9.814648,80,6,79.599998,-20.799999,3980.198975,-1040.052002,100.000000,100.000000,19999
298.617371,146.069870,9.850708,160,-43,38.200001,-20.799999,1910.095581,-1040.052002,100.000000,100.000000,19999
299.080688,145.357147,9.883675,641,-117,24.400000,-7.800000,1219.268433,-389.766144,0.000000,0.000000,20012
299.370117,144.906860,9.904190,2224,1786,79.000000,-26.600000,3950.197510,-1330.066528,34.328209,19.094034,19999
299.456818,144.709274,9.914242,6111,5242,291.200012,0.000000,14568.012695,0.000000,60.502674,0.000000,19989
299.438446,144.647385,9.915624,9265,6856,305.000000,43.599998,15251.525391,2180.218018,45.158108,9.275842,19998
299.317139,144.502533,9.911682,8957,7269,165.600006,60.200001,8280.000000,3010.000000,26.716530,12.227306,20000
299.122162,144.133133,9.910388,7109,7472,111.800003,128.600006,5590.559082,6430.643555,23.282263,25.435686,19998
298.880554,143.673279,9.908533,7897,7798,139.000000,125.800003,6950.347656,6290.314453,26.012245,23.793661,19999
298.613373,143.163391,9.907464,7694,8414,141.600006,180.800003,7080.000488,9040.000000,27.161606,31.548561,20000
